Accumulator
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
accumulator_IN_16_OUT_56_clk_200,16,56,200,0,532,251.294,6904.567,3343592.781,3350497.348
accumulator_IN_16_OUT_56_clk_300,16,56,300,1,454,208.233,5121.604,1849631.396,1854753.000
accumulator_IN_16_OUT_56_clk_400,16,56,400,4,441,203.213,4838.116,1450045.937,1454884.053
accumulator_IN_16_OUT_56_clk_500,16,56,500,79,420,200.431,4891.536,1220348.471,1225240.007
accumulator_IN_16_OUT_56_clk_550,16,56,550,35,413,199.524,4856.875,1134271.187,1139128.062
accumulator_IN_16_OUT_56_clk_600,16,56,600,83,404,198.556,4850.183,1049069.734,1053919.917
accumulator_IN_16_OUT_56_clk_650,16,56,650,107,406,197.649,4752.443,983442.930,988195.373
accumulator_IN_16_OUT_56_clk_700,16,56,700,151,385,193.717,4564.224,908373.576,912937.799
accumulator_IN_16_OUT_56_clk_750,16,56,750,158,383,193.234,4557.596,862993.316,867550.912
accumulator_IN_16_OUT_56_clk_800,16,56,800,98,282,188.819,4347.523,782332.132,786679.655
accumulator_IN_24_OUT_56_clk_200,24,56,200,0,541,258.612,7038.915,3475988.495,3483027.410
accumulator_IN_24_OUT_56_clk_300,24,56,300,2,461,211.015,5017.227,1845864.770,1850881.997
accumulator_IN_24_OUT_56_clk_400,24,56,400,18,363,212.043,5193.129,1437097.732,1442290.861
accumulator_IN_24_OUT_56_clk_500,24,56,500,48,411,200.552,4809.319,1205950.751,1210760.070
accumulator_IN_24_OUT_56_clk_550,24,56,550,75,416,201.701,4887.919,1140401.462,1145289.382
accumulator_IN_24_OUT_56_clk_600,24,56,600,50,401,198.798,4778.089,1054314.238,1059092.327
accumulator_IN_24_OUT_56_clk_650,24,56,650,93,396,198.253,4758.067,994301.429,999059.496
accumulator_IN_24_OUT_56_clk_700,24,56,700,118,391,196.439,4674.743,935037.307,939712.049
accumulator_IN_24_OUT_56_clk_750,24,56,750,102,381,194.625,4571.718,877944.780,882516.497
accumulator_IN_24_OUT_56_clk_800,24,56,800,120,368,192.266,4479.555,833903.601,838383.155
accumulator_IN_32_OUT_56_clk_200,32,56,200,0,541,258.129,6768.778,3438005.113,3444773.890
accumulator_IN_32_OUT_56_clk_300,32,56,300,2,449,209.382,4948.139,1813741.418,1818689.557
accumulator_IN_32_OUT_56_clk_400,32,56,400,6,363,214.523,5297.408,1415020.359,1420317.767
accumulator_IN_32_OUT_56_clk_500,32,56,500,43,404,200.915,4778.083,1188207.737,1192985.819
accumulator_IN_32_OUT_56_clk_550,32,56,550,90,400,200.370,4741.528,1121706.487,1126448.015
accumulator_IN_32_OUT_56_clk_600,32,56,600,79,388,198.616,4747.815,1045596.567,1050344.382
